PERMNO,date,SHRCD,EXCHCD,TICKER,COMNAM,SHRCLS,TRDSTAT,PERMCO,DLSTCD,DLRET,RET,BID,ASK
10107,9/29/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.001693,284.01001,284.04999
10107,9/30/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.007324,281.69,281.72
10107,10/1/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.025468,288.98001,289.10001
10107,10/4/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.02072,283.14999,283.23001
10107,10/5/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.019957,288.75,288.76001
10107,10/6/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.015064,293.07001,293.10001
10107,10/7/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.005936,294.89001,294.94
10107,10/8/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0,294.84,294.85001
10107,10/11/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.002103,294.17001,294.20999
10107,10/12/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.004588,292.88,292.94
10107,10/13/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.011711,296.32999,296.38
10107,10/14/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.021734,302.70999,302.76999
10107,10/15/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.004822,304.17001,304.20999
10107,10/18/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.010125,307.23999,307.25
10107,10/19/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.003059,308.26001,308.29001
10107,10/20/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.00266,307.48999,307.54001
10107,10/21/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.010898,310.75,310.76001
10107,10/22/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.005149,309.14001,309.20999
10107,10/25/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.003332,308.26001,308.31
10107,10/26/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.006426,309.67999,309.87
10107,10/27/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.042114,323.17001,323.26999
10107,10/28/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.003651,324.10999,324.32001
10107,10/29/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.022414,331.62,331.64001
10107,11/1/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.006785,329.37,329.45001
10107,11/2/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.011416,333.23001,333.26001
10107,11/3/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.002612,333.97,334
10107,11/4/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.007305,336.47,336.48001
10107,11/5/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.001129,336.04999,336.10999
10107,11/8/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.002767,336.92999,336.97
10107,11/9/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.003086,335.89001,335.95001
10107,11/10/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.01533,330.76999,330.79999
10107,11/11/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.004927,332.45999,332.5
10107,11/12/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.012905,336.73001,336.79001
10107,11/15/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.00193,336.07999,336.14999
10107,11/16/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.010236,339.57999,339.76999
10107,11/17/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.000677,339.12,339.16
10107,11/18/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.00634,341.26001,341.26999
10107,11/19/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.005392,343.03,343.10999
10107,11/22/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.00956,339.82999,339.91
10107,11/23/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.006327,337.67999,337.75
10107,11/24/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.000681,337.89999,337.92001
10107,11/26/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.024356,329.73999,329.98999
10107,11/29/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.021081,336.54001,336.54999
10107,11/30/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.017943,330.57999,330.67999
10107,12/1/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.001543,329.89999,329.98001
10107,12/2/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.001787,329.48999,329.73999
10107,12/3/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.019667,323.10001,323.17999
10107,12/6/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.009845,326.47,326.63
10107,12/7/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.026764,334.92001,334.92999
10107,12/8/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.000149,334.85001,334.95999
10107,12/9/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.005583,333.10999,333.13
10107,12/10/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.02834,342.22,342.54001
10107,12/13/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.009167,339.39001,339.44
10107,12/14/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.032587,328.48001,328.51999
10107,12/15/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.019218,334.66,334.67001
10107,12/16/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.029135,324.88,325
10107,12/17/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.003386,323.51001,323.79999
10107,12/20/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.012014,320.17001,320.17999
10107,12/21/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.023069,327.31,327.37
10107,12/22/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.018057,333.17001,333.26999
10107,12/23/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.004472,334.48999,334.51001
10107,12/27/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.023186,342.35001,342.45001
10107,12/28/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.003504,341.25,341.28
10107,12/29/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,0.002051,341.95001,341.95999
10107,12/30/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.007691,339.32001,339.37
10107,12/31/2021,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.008841,336.20999,336.32001
10107,1/3/2022,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.004668,334.73001,334.73999
10107,1/4/2022,11,3,MSFT,MICROSOFT CORP,,A,8048,,,-0.017147,329.04001,329.06
